Date       Time     Site  Ant    Freq Code Power   
2016-03-20 00:34:13    7    1 149.340   20   -93
2016-03-20 00:34:14    7    1 149.720    3  -110
2016-03-20 00:34:15    7    1 149.760   13   -89
2016-03-20 00:34:15    7    1 149.740    9   -82
2016-03-20 00:34:18    7    1 149.340   20   -93
2016-03-20 00:34:18    7    1 149.740    9   -91
2016-03-20 00:34:20    7    1 149.800   20   -98
2016-03-20 00:34:21    7    1 149.740    9   -85
2016-03-20 00:34:21    7    1 149.740   13   -84
2016-03-20 00:34:22    7    1 149.760   14   -90
2016-03-20 00:34:23    7    1 149.720    3  -103
2016-03-20 00:34:23    7    1 149.340   20   -93
2016-03-20 00:34:23    7    1 149.800  129  -112
2016-03-20 00:34:24    7    1 149.740    9   -80
2016-03-20 00:34:25    7    1 149.760   13   -89
2016-03-20 00:34:26    7    1 149.720    3  -105
2016-03-20 00:34:27    7    1 149.740    9   -84
2016-03-20 00:34:28    7    1 149.340   20   -93
2016-03-20 00:34:29    7    1 149.720    3  -104
2016-03-20 00:34:29    7    1 149.780   15  -112
2016-03-20 00:34:30    7    1 149.800   20   -98
2016-03-20 00:34:30    7    1 149.740    9   -76
2016-03-20 00:34:32    7    1 149.740   13   -84
2016-03-20 00:34:32    7    1 149.720    3  -101
2016-03-20 00:34:32    7    1 149.760   14   -90
2016-03-20 00:34:33    7    1 149.340   20   -93
2016-03-20 00:34:33    7    1 149.740    9   -79
2016-03-20 00:34:35    7    1 149.720    3  -111
2016-03-20 00:34:35    7    1 149.760   13   -89
2016-03-20 00:34:37    7    1 149.740    9   -88
2016-03-20 00:34:38    7    1 149.340   20   -93
2016-03-20 00:34:40    7    1 149.740    9   -85
2016-03-20 00:34:40    7    1 149.800   20  -102
2016-03-20 00:34:42    7    1 149.740   13   -84
2016-03-20 00:34:42    7    1 149.760   14   -90
2016-03-20 00:34:43    7    1 149.740    9   -80
2016-03-20 00:34:43    7    1 149.340   20   -97
2016-03-20 00:34:44    7    1 149.720    3  -100
2016-03-20 00:34:45    7    1 149.720    2  -112
2016-03-20 00:34:45    7    1 149.760   13   -89
2016-03-20 00:34:46    7    1 149.740    9   -82
2016-03-20 00:34:47    7    1 149.720    3  -106
2016-03-20 00:34:47    7    1 149.720   71  -112
2016-03-20 00:34:48    7    1 149.340   20   -97
2016-03-20 00:34:49    7    1 149.740   15  -112
2016-03-20 00:34:49    7    1 149.740    9   -84
2016-03-20 00:34:50    7    1 149.720    3  -104
2016-03-20 00:34:50    7    1 149.800   20   -99
